player_id,player_name,image_url,date_of_birth,height,primary_citizenship,secondary_citizenship,main_position,other_positions,preferred_foot,outfitter
70245,Ignasi Miquel,https://img.a.transfermarkt.technology/portrait/header/70245-1513332415.jpg?lm=1,"Sep 28, 1992","1,89m",Spain,,Centre-Back,Left-Back,left,
346483,Mason Mount,https://img.a.transfermarkt.technology/portrait/header/346483-1683291495.jpg?lm=1,"Jan 10, 1999","1,81m",England,,Attacking Midfield,"Central Midfield, Left Midfield",right,Nike
601883,Matheus Nunes,https://img.a.transfermarkt.technology/portrait/header/601883-1693561106.jpg?lm=1,"Aug 27, 1998","1,83m",Portugal,Brazil,Central Midfield,"Attacking Midfield, Left Midfield",right,
623526,Toni Fuidias,https://img.a.transfermarkt.technology/portrait/header/623526-1648828410.png?lm=1,"Apr 15, 2001","1,95m",Spain,,Goalkeeper,,right,
54235,Iker Muniain,https://img.a.transfermarkt.technology/portrait/header/54235-1709676073.png?lm=1,"Dec 19, 1992","1,69m",Spain,,Attacking Midfield,"Left Winger, Right Winger",right,adidas
559979,Abdel Abqar,https://img.a.transfermarkt.technology/portrait/header/559979-1705337125.jpg?lm=1,"Mar 10, 1999","1,88m",Morocco,,Centre-Back,,right,
65318,Jaume Costa,https://img.a.transfermarkt.technology/portrait/header/65318-1447255198.jpg?lm=1,"Mar 18, 1988","1,71m",Spain,,Left-Back,,left,
554251,Yasser Larouci,https://img.a.transfermarkt.technology/portrait/header/554251-1667290451.jpg?lm=1,"Jan 1, 2001","1,76m",Algeria,France,Left-Back,Left Midfield,left,
546712,Anis Slimane,https://img.a.transfermarkt.technology/portrait/header/546712-1668422834.jpg?lm=1,"Mar 16, 2001","1,88m",Tunisia,Denmark,Central Midfield,"Left Midfield, Attacking Midfield",both,
895331,Dani Pérez,,"Jul 26, 2005","1,73m",Spain,,Attacking Midfield,"Central Midfield, Left Winger",right,
433818,Scott Twine,https://img.a.transfermarkt.technology/portrait/header/433818-1645779459.jpg?lm=1,"Jul 14, 1999","1,74m",England,,Attacking Midfield,"Left Winger, Right Winger",right,
747996,Val Adedokun,,"Feb 14, 2003",,Ireland,Nigeria,Left-Back,Left Midfield,left,
469669,Yvan Neyou,https://img.a.transfermarkt.technology/portrait/header/469669-1703762516.jpg?lm=1,"Jan 3, 1997","1,80m",Cameroon,France,Defensive Midfield,Central Midfield,right,
282672,Benito Ramírez,https://img.a.transfermarkt.technology/portrait/header/282672-1658407951.jpg?lm=1,"Jul 11, 1995","1,79m",Spain,,Left Winger,"Right Winger, Left-Back",left,
281404,Kenedy,https://img.a.transfermarkt.technology/portrait/header/281404-1455120897.jpg?lm=1,"Feb 8, 1996","1,80m",Brazil,,Left Winger,"Right Winger, Centre-Forward",left,adidas
940462,Pau Ferrer,,"Oct 17, 2003",,Spain,,Centre-Forward,,left,
944124,Lass Sangaré,,"Nov 20, 2001","1,84m",Cote d'Ivoire,,Central Midfield,"Right-Back, Centre-Back",right,
735571,Rodrigo Muniz,https://img.a.transfermarkt.technology/portrait/header/735571-1657802369.jpg?lm=1,"May 4, 2001","1,86m",Brazil,,Centre-Forward,,right,Puma
3333,James Milner,https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,"Jan 4, 1986","1,75m",England,,Central Midfield,"Right-Back, Left-Back",right,Nike
939615,Max Kinsey,,"Feb 2, 2005","1,84m",England,,Centre-Back,,right,
941869,Yellu Santiago,,"May 25, 2004","1,92m",Spain,,Central Midfield,,right,
153238,Jonathan Viera,https://img.a.transfermarkt.technology/portrait/header/153238-1563441637.jpg?lm=1,"Oct 21, 1989","1,71m",Spain,,Attacking Midfield,"Left Winger, Right Winger",right,
233124,Kortney Hause,https://img.a.transfermarkt.technology/portrait/header/233124-1700671308.jpg?lm=1,"Jul 16, 1995","1,91m",England,Bermuda,Centre-Back,Left-Back,left,adidas
334222,Lucas Boyé,https://img.a.transfermarkt.technology/portrait/header/334222-1664974977.jpg?lm=1,"Feb 28, 1996","1,83m",Argentina,Italy,Centre-Forward,Left Winger,right,
215810,Tom King,https://img.a.transfermarkt.technology/portrait/header/215810-1621592912.jpg?lm=1,"Mar 9, 1995","1,94m",Wales,England,Goalkeeper,,right,Sells
223725,Munir El Haddadi,https://img.a.transfermarkt.technology/portrait/header/223725-1687272900.jpg?lm=1,"Sep 1, 1995","1,77m",Morocco,Spain,Right Winger,"Centre-Forward, Left Winger",left,adidas
720038,Pablo Torre,https://img.a.transfermarkt.technology/portrait/header/720038-1724406086.jpg?lm=1,"Apr 3, 2003","1,73m",Spain,,Attacking Midfield,"Central Midfield, Left Winger",right,adidas
941867,Mario Dominguez,,"Feb 10, 2004","1,75m",Spain,,Centre-Forward,Second Striker,,
412045,Pol Lozano,https://img.a.transfermarkt.technology/portrait/header/412045-1568028635.jpg?lm=1,"Oct 6, 1999","1,76m",Spain,,Central Midfield,,right,
392591,Chiedozie Ogbene,https://img.a.transfermarkt.technology/portrait/header/392591-1700737518.jpg?lm=1,"May 1, 1997","1,81m",Ireland,Nigeria,Right Winger,"Left Winger, Second Striker",right,
502722,Luka Sucic,https://img.a.transfermarkt.technology/portrait/header/502722-1692998699.png?lm=1,"Sep 8, 2002","1,85m",Croatia,,Central Midfield,Attacking Midfield,left,
391065,Hamed Junior Traoré,https://img.a.transfermarkt.technology/portrait/header/391065-1596029805.jpg?lm=1,"Feb 16, 2000","1,77m",Cote d'Ivoire,,Attacking Midfield,"Left Winger, Central Midfield",right,
715683,Naim García,https://img.a.transfermarkt.technology/portrait/header/715683-1698881493.jpg?lm=1,"Jun 11, 2002","1,80m",Spain,,Right Winger,Left Winger,left,
834752,Unai Gómez,https://img.a.transfermarkt.technology/portrait/header/834752-1709676122.png?lm=1,"May 25, 2003","1,83m",Spain,,Attacking Midfield,Central Midfield,left,
710679,Iker Benito,https://img.a.transfermarkt.technology/portrait/header/710679-1732219683.jpg?lm=1,"Aug 10, 2002","1,76m",Spain,,Right Winger,,right,
74810,Ben Mee,https://img.a.transfermarkt.technology/portrait/header/74810-1700647998.jpg?lm=1,"Sep 21, 1989","1,80m",England,,Centre-Back,Left-Back,left,
605528,Pol Tristán,,"Mar 18, 2002","1,88m",Spain,,Goalkeeper,,both,
314353,Trent Alexander-Arnold,https://img.a.transfermarkt.technology/portrait/header/314353-1701680958.jpg?lm=1,"Oct 7, 1998","1,75m",England,,Right-Back,,right,adidas
441170,Valentin Rosier,https://img.a.transfermarkt.technology/portrait/header/441170-1666619891.png?lm=1,"Aug 19, 1996","1,75m",France,Guadeloupe,Right-Back,"Left-Back, Right Midfield",right,
472423,Reece James,https://img.a.transfermarkt.technology/portrait/header/472423-1683900849.jpg?lm=1,"Dec 8, 1999","1,80m",England,,Right-Back,"Centre-Back, Right Midfield",right,Nike
284884,Óscar Rodríguez,https://img.a.transfermarkt.technology/portrait/header/284884-1697221442.jpg?lm=1,"Jun 28, 1998","1,74m",Spain,,Attacking Midfield,"Central Midfield, Left Winger",right,
29712,John Ruddy,https://img.a.transfermarkt.technology/portrait/header/s_29712_1123_2013_03_06_1.jpg?lm=1,"Oct 24, 1986","1,92m",England,,Goalkeeper,,right,
80444,Philippe Coutinho,https://img.a.transfermarkt.technology/portrait/header/80444-1640621762.jpg?lm=1,"Jun 12, 1992","1,72m",Brazil,Portugal,Attacking Midfield,"Left Winger, Right Winger",right,Nike
377468,Anel Ahmedhodzic,https://img.a.transfermarkt.technology/portrait/header/377468-1680273994.jpg?lm=1,"Mar 26, 1999","1,90m",Bosnia-Herzegovina,Sweden,Centre-Back,,right,
585550,Gavin Bazunu,https://img.a.transfermarkt.technology/portrait/header/585550-1655476121.jpg?lm=1,"Feb 20, 2002","1,88m",Ireland,Nigeria,Goalkeeper,,right,
413507,Nikola Milenković,https://img.a.transfermarkt.technology/portrait/header/413507-1661166461.jpg?lm=1,"Oct 12, 1997","1,95m",Serbia,,Centre-Back,Right-Back,right,Puma
346314,Trevoh Chalobah,https://img.a.transfermarkt.technology/portrait/header/346314-1698937171.jpg?lm=1,"Jul 5, 1999","1,92m",England,Sierra Leone,Centre-Back,"Defensive Midfield, Right-Back",right,Nike
617060,Mika Mármol,https://img.a.transfermarkt.technology/portrait/header/617060-1638453788.jpg?lm=1,"Jul 1, 2001","1,81m",Spain,,Centre-Back,Left-Back,left,
314378,Admiral Muskwe,https://img.a.transfermarkt.technology/portrait/header/314378-1644921039.png?lm=1,"Aug 21, 1998","1,83m",Zimbabwe,England,Centre-Forward,Second Striker,right,
581640,Coke Carrillo,,"Jan 7, 2002","1,88m",Spain,,Goalkeeper,,right,
1032447,Julio Cabrera,,"Aug 14, 2003",,Spain,,Left-Back,,,
922462,Lewis Koumas,https://img.a.transfermarkt.technology/portrait/header/922462-1708346761.jpg?lm=1,"Sep 19, 2005",,Wales,England,Left Winger,"Centre-Forward, Right Winger",,
167799,Pierre-Emile Højbjerg,https://img.a.transfermarkt.technology/portrait/header/167799-1629882773.jpg?lm=1,"Aug 5, 1995","1,85m",Denmark,France,Defensive Midfield,Central Midfield,right,adidas
59016,David Alaba,https://img.a.transfermarkt.technology/portrait/header/59016-1684921582.jpeg?lm=1,"Jun 24, 1992","1,80m",Austria,,Centre-Back,"Left-Back, Central Midfield",left,adidas
443222,Marc Cardona,https://img.a.transfermarkt.technology/portrait/header/443222-1532074440.jpg?lm=1,"Jul 8, 1995","1,82m",Spain,,Centre-Forward,"Left Winger, Right Winger",right,Nike
535927,Luke McNally,https://img.a.transfermarkt.technology/portrait/header/535927-1684494094.jpg?lm=1,"Sep 20, 1999","1,93m",Ireland,,Centre-Back,,right,
948275,Álvaro Rodríguez,https://img.a.transfermarkt.technology/portrait/header/948275-1660124773.jpg?lm=1,"Jul 14, 2004","1,93m",Uruguay,Spain,Centre-Forward,Left Winger,left,
127108,Florian Lejeune,https://img.a.transfermarkt.technology/portrait/header/127108-1496825998.jpg?lm=1,"May 20, 1991","1,90m",France,,Centre-Back,,right,Nike
503743,Morgan Rogers,https://img.a.transfermarkt.technology/portrait/header/503743-1706786450.jpg?lm=1,"Jul 26, 2002","1,87m",England,,Attacking Midfield,"Right Winger, Left Winger",right,adidas
176553,Aymeric Laporte,https://img.a.transfermarkt.technology/portrait/header/176553-1685546335.jpg?lm=1,"May 27, 1994","1,91m",Spain,France,Centre-Back,,left,adidas
538810,Chris Ramos,https://img.a.transfermarkt.technology/portrait/header/538810-1681583076.jpg?lm=1,"Jan 18, 1997","1,90m",Spain,United States,Centre-Forward,"Left Winger, Right Winger",right,
568157,Yéremy Pino,https://img.a.transfermarkt.technology/portrait/header/568157-1686664370.jpg?lm=1,"Oct 20, 2002","1,72m",Spain,,Right Winger,Left Winger,right,
466794,Eric García,https://img.a.transfermarkt.technology/portrait/header/466794-1693604801.jpg?lm=1,"Jan 9, 2001","1,82m",Spain,,Centre-Back,"Right-Back, Defensive Midfield",right,
507700,Brandon Williams,https://img.a.transfermarkt.technology/portrait/header/507700-1570788670.jpg?lm=1,"Sep 3, 2000","1,80m",England,,Left-Back,Right-Back,right,Puma
