competition_id,season_id(s),club_id,club_name
GB1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",985,Manchester United
GB1,"2021,2019,2018,2017,2016,2015",1010,Watford FC
GB1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",29,Everton FC
GB1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",31,Liverpool FC
GB1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",631,Chelsea FC
GB1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",281,Manchester City
GB1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",379,West Ham United
GB1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",148,Tottenham Hotspur
GB1,"2024,2022,2021,2020,2019,2018,2017,2016,2015",180,Southampton FC
GB1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",873,Crystal Palace
GB1,"2024,2023,2022,2021,2020,2019,2018,2017,2015",762,Newcastle United
GB1,"2016,2015",289,Sunderland AFC
GB1,"2023,2021,2020,2019,2018,2017,2016",1132,Burnley FC
GB1,"2017,2016,2015",2288,Swansea City
GB1,"2024,2023,2022,2019,2018,2017,2016,2015",989,AFC Bournemouth
ES1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",418,Real Madrid
GB1,"2017,2016,2015",512,Stoke City
GB1,2016,641,Middlesbrough FC
GB1,"2024,2022,2021,2020,2019,2018,2017,2016,2015",1003,Leicester City
GB1,"2024,2023,2022,2021,2020,2019,2015",405,Aston Villa
GB1,"2024,2023,2022,2021,2020,2019,2018",543,Wolverhampton Wanderers
ES1,"2024,2023,2022,2021,2020,2019,2018,2017,2015",3709,Getafe CF
GB1,"2020,2017,2016,2015",984,West Bromwich Albion
GB1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",11,Arsenal FC
GB1,"2024,2023,2022,2020,2018",931,Fulham FC
ES1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",131,FC Barcelona
GB1,2023,1031,Luton Town
GB1,"2023,2020,2019",350,Sheffield United
GB1,"2024,2023,2022,2021,2020,2019,2018,2017",1237,Brighton & Hove Albion
GB1,"2024,2023,2022,2021",1148,Brentford FC
ES1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",1050,Villarreal CF
ES1,"2023,2022",3302,UD Almería
ES1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",681,Real Sociedad
ES1,"2024,2023,2022,2021,2019",237,RCD Mallorca
ES1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",940,Celta de Vigo
ES1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",13,Atlético de Madrid
ES1,"2024,2023,2022,2021,2018,2015",367,Rayo Vallecano
ES1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",150,Real Betis Balompié
ES1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",621,Athletic Bilbao
ES1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",368,Sevilla FC
ES1,"2023,2022,2021,2020",2687,Cádiz CF
ES1,"2024,2023,2022,2018,2017",12321,Girona FC
ES1,"2022,2021,2020",1531,Elche CF
ES1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",1049,Valencia CF
ES1,"2024,2022,2020,2019,2018",366,Real Valladolid CF
ES1,"2024,2023,2022,2021,2020,2019,2016",331,CA Osasuna
ES1,"2024,2023,2021,2020,2019,2018,2017,2016",1108,Deportivo Alavés
ES1,"2024,2023,2017,2016,2015",472,UD Las Palmas
ES1,"2024,2022,2021,2019,2018,2017,2016,2015",714,RCD Espanyol Barcelona
ES1,"2021,2020,2019,2018,2017,2015",3368,Levante UD
ES1,"2023,2021,2020,2019,2016,2015",16795,Granada CF
ES1,"2020,2019,2018,2017,2016,2015",1533,SD Eibar
ES1,"2020,2018",5358,SD Huesca
ES1,"2024,2019,2018,2017,2016",1244,CD Leganés
L1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",16,Borussia Dortmund
L1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",39,1.FSV Mainz 05
L1,"2024,2023,2022,2020,2019,2018,2017,2016,2015",86,SV Werder Bremen
L1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",24,Eintracht Frankfurt
L1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",18,Borussia Mönchengladbach
L1,2024,269,Holstein Kiel
