competition_id,season_id(s),club_id,club_name,youth_team_id,youth_team_name
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",131,FC Barcelona,2464,FC Barcelona Atlètic
ES1,"2023,2021,2020,2019,2016,2015,2014",16795,Granada CF,39452,Granada CF U19
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",368,Sevilla FC,8519,Sevilla Atlético
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",1050,Villarreal CF,11972,Villarreal CF B
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",418,Real Madrid,6767,Real Madrid Castilla
ES1,"2023,2022,2021,2020,2019,2016",331,CA Osasuna,8516,CA Osasuna Promesas
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015",150,Real Betis Balompié,2865,Betis Deportivo Balompié
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",681,Real Sociedad,9899,Real Sociedad B
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",13,Atlético de Madrid,3679,Atlético de Madrid B
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",1049,Valencia CF,6182,Valencia Mestalla
ES1,"2020,2018",5358,SD Huesca,70841,SD Huesca B
ES1,"2023,2022,2021,2020,2019,2018,2017,2015,2014",3709,Getafe CF,8510,Getafe CF B
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",621,Athletic Bilbao,6665,CD Basconia
ES1,"2023,2021,2020,2019,2018,2017,2016",1108,Deportivo Alavés,8880,Deportivo Alavés B
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",940,Celta de Vigo,8733,RC Celta Fortuna
ES1,"2017,2016,2015,2014",1084,Málaga CF,5649,Atlético Malagueño
ES1,"2023,2022,2018,2017",12321,Girona FC,38006,Girona FC B
ES1,"2022,2021,2020,2014",1531,Elche CF,12317,Elche Ilicitano
ES1,"2022,2020,2019,2018",366,Real Valladolid CF,,
ES1,"2023,2022,2014",3302,UD Almería,11986,UD Almería B
ES1,"2020,2019,2018,2017,2016,2015,2014",1533,SD Eibar,50186,SD Eibar B
ES1,"2022,2021,2019,2018,2017,2016,2015,2014",714,RCD Espanyol Barcelona,,
ES1,"2023,2017,2016,2015",472,UD Las Palmas,11610,Las Palmas Atlético
ES1,"2017,2016,2015,2014",897,Deportivo de La Coruña,11603,RC Deportivo Fabril
ES1,"2019,2018,2017,2016",1244,CD Leganés,17686,CD Leganés B
ES1,"2023,2022,2021,2019",237,RCD Mallorca,8494,RCD Mallorca B
ES1,"2023,2022,2021,2020",2687,Cádiz CF,11669,Cádiz CF Mirandilla
ES1,"2021,2020,2019,2018,2017,2015,2014",3368,Levante UD,11516,Atlético Levante UD
ES1,"2023,2022,2021,2018,2015,2014",367,Rayo Vallecano,15080,Rayo Vallecano B
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",6195,SSC Napoli,12819,Napoli Primavera
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",12,AS Roma,11997,Roma U20
IT1,"2023,2021,2020,2019,2018,2017,2016,2015,2014",252,Genoa CFC,8517,Genoa U20
IT1,"2022,2021,2020,2019,2018,2017,2016,2015,2014",1038,UC Sampdoria,12001,Sampdoria Primavera
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015",1025,Bologna FC 1909,,
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",430,ACF Fiorentina,8505,Fiorentina Primavera
IT1,2015,4102,Carpi FC 1909,40440,Carpi FC Youth
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",46,Inter Milan,5380,Inter Milan Primavera
